name,id,latitude,longitude,address,working_day,name_en,address_en,working_day_en
ท่าอากาศยานสุวรรณภูมิ คอนคอร์ด เอฟ,IC52173,13.6929971,100.7463311,ท่าอากาศยานสุวรรณภูมิ (แอร์ไซด์ คอนคอร์ด เอฟ ชั้น 4),ทุกวัน ตลอด 24 ชม.,BK_SBIA F,"Suvarnabhumi Airport (Airside Concourse F, 4th Floor)",Every day 24 hrs.
ท่าอากาศยานสุวรรณภูมิ คอนคอร์ด ฟู้ดสต๊อป,IC52174,13.69154,100.7482888,ท่าอากาศยานสุวรรณภูมิ (แอร์ไซด์ คอนคอร์ด เอ โซนฟู้ดสต๊อป ชั้น 2),ทุกวัน 05.00-22.00 น.,BK_SBIA FS,"Suvarnabhumi Airport (Airside Concourse A(Food Stop), 2nd Floor)",Every day 05.00-22.00
ท่าอากาศยานสุวรรณภูมิ เมน เทอร์มินอล ชั้น 3,IC52175,13.694201,100.75188,ท่าอากาศยานสุวรรณภูมิ (แลนด์ไซด์ เมน เทอร์มินอล ชั้น 3),ทุกวัน ตลอด 24 ชม.,BK_SBIA L3,"Suvarnabhumi Airport (Landside Main Terminal, 3rd Floor)",Every day 24 hrs.
สายไหม มอลล์,IC99907,13.921011,100.680147,"No. 599 Sai Mai Rd, Khwaeng Sai Mai, Sai Mai, Bangkok 10220",จันทร์-อาทิตย์ 07.00-22.00 น. ,Sai Mai Mall,เลขที่ 599 ถ. สายไหม แขวง สายไหม เขตสายไหม กรุงเทพมหานคร 10220,Monday-Sunday 07.00-22.00 
เอสโซ่ รังสิต (ขาออก),IC52118,13.967482,100.618598,เลขที่ 293 หมู่ที่ 13 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี  12130,จันทร์-อาทิตย์ 07.00-02.00 น. ,ESSO RANGSIT OUTBOUND,293 /13 Phaholyothin Road Khu Khot sub district  Lam Luk Ka  Pathum Thani 12130,Monday-Sunday 07.00-02.00 
ท่าอากาศยานสุวรรณภูมิ คอนคอร์ด บี,IC52172,13.675851,100.762196,ท่าอากาศยานสุวรรณภูมิ (แอร์ไซด์ คอนคอร์ด บี ชั้น 4),ทุกวัน ตลอด 24 ชม.,BK_SBIA B,"Suvarnabhumi Airport (Airside Concourse B, 4th Floor)",Every day 24 hrs.
ปตท. เภตรา,IC139524,14.007111,100.553678,ปตท. เภตรา ชั้น1  140 หมู่2 ถ. ติวานนท์ ต. บ้านกลาง อ. เมือง จ. ปทุมธานี 12000,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT Petra,"PTT Petra, 1st Floor, 140 Moo 2, Tiwanon Road, Ban Klang Subdistrict, Muang District, Pathum Thani 12000",Monday-Sunday 7.00-22.00 
เอสโซ่ พระราม 2 กม 25 (ขาออก),IC52115,13.5711327,100.2916849,สถานีบริการเอสโซ่ ถนนพระราม 2 กม25 ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,จันทร์-อาทิตย์ 7.00-22.00 น. ,ESSO RAMA 2 KM 25 (OB),Esso Gas Station  Rama2 Road KM25  Bangkajao Samut Sakhon 74000,Monday-Sunday 7.00-22.00 
ปตท. สุวินทวงศ์ (ขาเข้า),IC55554,13.80934,100.806974,เลขที่ 89/9 หมู่ 8 แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT SUWINTHAWONG (IB),"No. 89/9 Moo 8, Khok Faet Subdistrict, Nong Chok District, Bangkok 10530",Monday-Sunday 7.00-22.00 
คาลเท็กซ์ รังสิต คลอง 3,IC158029,13.997096,100.670699,ปั๊มน้ำมันคาลเทกซ์ รังสิตคลอง3 ขาออก ต.บึงยี่โถ อ.ธัญบุรี ปทุมธานี 12130,จันทร์-อาทิตย์ 07.00-24.00 น. ,Caltex Rangsit Klong 3,"Caltex Rangsit Klong3 OB, Bueng Yitho, Thanyaburi District, Pathum Thani 12130",Monday-Sunday 07.00-24.00 
