name,location,latitude,longitude
KANCHANAPISEK BANGYAI (DRIVE-THRU),"36/713 Moo 6, Kanchanapisek Road, Bangrakpattana, Bangbuathong, Nonthaburi 11110",13.906077,100.408162
BB BANGYAI MARKET (DRIVE-THRU),"59/1 Moo 5, Petchkasem Road, Kokmo, Muang Rajburi, Rajburi 70000",13.876517,100.409224
M-PARK NAKHONSAWAN (DRIVE-THRU),"1010/243 Moo 10, Sai Asia Road, Nakornsawantok, Muang Nakornsawan, Nakornsawan 60000",15.701779,100.116013
THE BAY PATTAYA,"99/9 Moo 9 Nongprue, Banglamung, Chonburi 20150",12.943198,100.885
ESSO BANGNA-TRAD KM.17 (DRIVE-THRU),"18/291 Moo 7 Bangchalong, Bangphli, Samutprakarn 10540",13.614576,100.753117
BIG C RAJDAMRI,"97/11  Rajdamri Road, Lumpini, Pathumwan, Bangkok 10330",13.747338,100.541112
LOTUS 'S AMATA NAKORN,"No. 700/75 Moo 5 Tesco Lotus Amata Nakorn , Klong Tamru . Mueang Chonburi Province 20000",13.42585,101.004221
PLOENCHIT CENTER,"2 Sukhumvit Soi 2, Sukhumvit Road, Klongtoey, Bangkok 10110",13.742341,100.551461
IMPACT MUANGTHONG THANI,"99 Poppular Road, Ban Mai, Pakkred, Nonthaburi 11120",13.912782,100.548077
YES BANGPHLI,"201/kor Moo 1, Theparak-Bangbor Road km.22.5, Bangsaothong, Samutprakarn 10560",13.587739,100.787122
PATTAYA KLANG (DRIVE-THRU),"392/60 Moo 9, Pattaya Klang Road, Nongprue, Banglamung, Chonburi 20150",12.925654,100.898415
HUA-HIN MARKET VILLAGE,"234/1 Petchkasem Road, Hua-Hin, Prachuab Kirikhan 77110",12.557354,99.960506
LOTUS 'S  BANGYAI,90 Moo5 Kanchanapisek Rd. tambon Bangkhu Wiang Amphoe Bang Kruai Nonthaburi Province 11130,13.823841,100.409873
UNION MALL,"54 Ladprao Road, Jompol, Chatuchak, Bangkok 10900",13.813613,100.561547
BANGCHAK PAKCHONG (DRIVE-THRU),"199/1 Moo 1, Nongnamdaeng, Pakchong, Nakornratchasima 30130",14.651827,101.358195
ZEER RANGSIT (DRIVE-THRU),"99/3 Moo 8, Viphawadee-Rangsit Road, Kookot, Lumlukka, Pathumthani 12130",13.961165,100.62102
RATCHADAMNOEN,"77/1 Ratchadamneon Klang Road (In front of Democracy Monument), Borwornniwate, Pranakorn, Bangkok 10200",13.757276,100.501614
LEE GARDENS PLAZA HADYAI,"29 Pracha-thipat Road, Hadyai, Songkla 90110",7.005556,100.47151
LOTUS 'S RAMA 3,"No. 172 Tesco Lotus Rama 3, Sukhumvit Rd . Chongnonsi 10120 .",13.69636,100.541242
NAWAMIN CITY AVENUE (DRIVE-THRU),"30/21 Moo 4 Kasetnawamin Road, Jorakhebua, Ladprao, Bangkok 10230",13.833535,100.611022
PTT KASETNAWAMIN (DRIVE-THRU),"189/1 Prasert Manookit Road, Nawamin, Bungkum, Bangkok 10240",13.822929,100.630509
SHIBUYA PRATUNAM,"919 Petchburi Road, Phayathai, Ratchathewi, Bangkok 10400",13.75113,100.538281
PHAHOLYOTHIN RANGSIT (DRIVE-THRU DUAL LANE),"53 Moo 5 Phaholyothin Road, Klong Nueng, Klongluang, Pathumthani 12120",14.042036,100.615862
BANGCHAK NAKORNPATHOM INBOUND (DRIVE-THRU),"272/4 Moo 2, Petchkasem Road Inbound km.61, Lampaya, Mueang Nakornpathom, Nakornpathom 73000",13.804452,100.022826
BANGCHAK CHA-AM (DRIVE-THRU),"555/1 Petchkasem Road (Cha-am), Cha-am, Petchburi 76120",12.818363,99.940734
TULIP SQUARE (DRIVE-THRU),"248 Moo 12, Aomnoi, Kratoomban, Samutsakorn 74130",13.704535,100.322716
THE MALL BANGKAPI 1,"3522 Ladprao Road, Klongchan, Bangkapi, Bangkok 110240",13.766444,100.642544
ESSO BANGNA KM.6.5 (DRIVE-THRU),"6/11 Moo 14, Bangna-Trad Road, Bangkaew, Bangplee, Samutprakarn 10540",13.659306,100.666245
MAJOR CINEPLEX RATCHAYOTHIN,"1839 Phaholyothin Road, Ladyao, Chatuchak, Bangkok 10900",13.828735,100.568451
LOTUS 'S CHANGWATTANA,"300 Moo 1 Changwattana Road, Tungsonghong, Laksi, Bangkok 10210",13.895327,100.556021
THE MALL KORAT,"1242/2 Mittrapap Road, Naimuang, Muang Nakorn Ratchasima, Nakorn Ratchasima 30000",14.98071,102.075884
"TWILIGHT OF BANGLA, PHUKET","5/1 Bangla Road, Patong, Kratoo, Phuket 83150",7.893934,98.296089
MAX VALU NAWAMIN (DRIVE-THRU),"700/50 Moo 10 Nawamin Road, Klongkum, Bungkum, Bangkok 10230",13.818886,100.654557
LADPRAO 116 (DRIVE-THRU),"2354/9 Ladprao Road, Plabpla, Wangthonglang, Bangkok 10310",13.779462,100.620528
PHAHOLYOTHIN WANGNOI AYUDHAYA (DRIVE-THRU),"333/3 Moo 2, Phaholyothin km.56 Road, Lamsai, Wangnoi, Pranakorn Sriayudhaya 13170",14.193462,100.643048
