lat,lng,address,type,content
13.776219,100.674046,,dq,Pure Place Ramkhamhaeng
13.650292,100.596139,,dq,Imperial World Samrong
13.74629,100.53276,,dq,"Siam Center, 4 fl."
13.7751,100.647308,,dq,The Mall Bangkapi
13.814617,100.561485,,dq,"Union Mall, G fl."
14.0025,100.6832,,dq,"Lotus Rangsit-Nakornnayok, 1 fl."
16.83971,100.234584,,dq,Central Plaza Phitsanulok
13.825548,100.679064,,dq,Fashion Island
13.8071018,100.7250903,,dq,Lotus Sukhapiban 3
13.758684,100.565732,,dq,Central Plaza Grand Rama 9
12.905944,100.894906,,dq,Lotus South Pattaya
13.687042,100.494719,,dq,Big C Bangpakok
13.761798,100.536899,,dq,Century The Movie Plaza
14.461866,100.126746,,dq,Robinson Suphanburi
13.737641,100.560407,,dq,"Terminal 21, LG fl."
13.64895,100.67989,,dq,"Mega Bangna, 1 fl."
13.305273,101.121264,,dq,Lotus Banbung
13.584544,100.607304,,dq,Big C Samutprakarn
13.7433522,101.3567737,,dq,Lotus Phanom Sarakham
13.75517,100.613124,,dq,Big C Huamark
13.708959,100.601523,,dq,Big C Onnuch
13.8042,100.5485,,dq,JJ Mall
13.7123,100.4343,,dq,"Seacon Bangkae, 1 fl."
13.7119,100.4345,,dq,"Seacon Bangkae, 4 fl."
13.9062,100.5151,,dq,Big C Chaengwattana
13.8238,100.4807,,dq,Lotus Nakorn Inn
13.653841,100.522691,,dq,Big C Suksawat
13.890855,100.606324,,dq,Big C Sapanmai
14.020841,100.525705,,dq,Lotus Pathumthani
13.8577,100.5372,,dq,"Pantip Ngamwongwan, G fl."
13.7862,100.4848,,dq,T Square
13.79005,100.515114,,dq,Supreme Complex Samsen
16.798576,100.217675,,dq,Lotus Phitsanulok
13.8667,100.4978,,dq,Central Rattanathibet
13.740544,100.637655,,dq,Lotus Pattanakarn
15.70772,100.09523,,dq,Lotus Nakhonsawan
14.0265,100.7461,,dq,Big C Rangsit Klong 6
13.7132886,100.479975,,dq,The Mall Thapra
13.550445,100.960192,,dq,Lotus Bangpakong
13.670043,100.634364,,dq,"Central Plaza Bangna, 5 fl."
18.824308,99.013838,,dq,Lotus Ruamchok Chiangmai
12.932079,100.880533,,dq,Mike Shopping Mall Pattaya
12.67187,100.89855,,dq,Lotus Sattahip Chonburi
13.823586,100.591762,,dq,Lotus Wanghin
14.475226,100.105221,,dq,Big C Suphanburi
13.323391,100.964127,,dq,Big C Chonburi (Extra)
13.933392,100.682165,,dq,Big C Klong 4 Lumlukka
13.648032,100.681425,,dq,"Mega Bangna, 2 fl."
18.806503,99.017881,,dq,"Central Festival Chiangmai, 5 fl."
13.719253,100.670339,,dq,Lotus Talad Onnuch
13.719726,100.515441,,dq,"Robinson Bangrak, BF fl."
15.70125,100.1218,,dq,Lotus The Walk Nakhonsawan
13.450463,101.180142,,dq,Lotus Panasnikom
13.8259419,100.6786663,,dq,"Fashion Island, 1fl."
13.7872,100.276276,,dq,"Central Plaza Salaya, 3 fl."
13.668676,101.048631,,dq,Robinson Chachoengsao
13.585628,100.611354,,dq,Robinson Samutprakarn
14.0664,100.6293,,dq,Lotus Klongluang
13.692555,100.648429,,dq,"Seacon, 4 fl."
13.5782,100.2724,,dq,Lotus Mahachai
13.587543,100.787304,,dq,Lotus City Park Bangplee
13.8763,100.4137,,dq,"Central Plaza West Gate, 2 fl."
13.7782,100.4768,,dq,"Central Plaza Pinklao, G fl."
13.939789,100.553655,,dq,"Robinson Srisaman, 1 fl."
13.804166,100.614474,,dq,"Central Festival Eastville, 2 fl."
13.633008,100.710218,,dq,"Market Village Suvarnnabhumi, 1 fl."
13.705187,100.491247,,dq,"Riverside Plaza, 2 fl."
12.933109,100.897413,,dq,"Harbor Pattaya, G fl."
13.822194,100.674793,,dq,"Fashion Island, BF fl."
13.8953,100.5581,,dq,"Big C Chaengwattana, 1 fl."
13.693982,100.64826,,dq,Seacon
13.635427,100.632106,,dq,"Jas Urban Srinakarin, 1 fl."
18.559274,99.039425,,dq,"Jampha Shopping Mall Lamphun, 1 fl."
18.769376,98.97574,,dq,"Central Plaza Airport Chiangmai, G fl."
12.945364,100.89051,,dq,Central Marina Pattaya
18.769376,98.97574,,dq,"Robinson Lopburi, 1 fl."
12.93486,100.883842,,dq,"Central Festival Pattaya, 5 fl."
14.0048794,100.5203018,,dq,Big C Pathumthani
13.8577517,100.6448655,,dq,Plearnary Mall
13.5699,100.288,,dq,"Central Plaza Mahachai, 1 fl."
18.8024,98.9674,,dq,"Maya Chiangmai, 4 fl."
13.7914849,100.5472147,,dq,Big C Sapankhwai
13.911647,100.551835,,dq,Cosmo Bazaar
16.8188,100.3009,,dq,Kad Farang
13.7226252,100.7269286,,dq,Paseo Ladkrabang
13.5649,100.2736,,dq,Lotus Mahachai
13.747168,100.541271,,dq,Big C Ratchadamri
12.70599,100.89,,dq,Big C Sattahip
13.7043,100.5026,,dq,Asiatique
18.8078,99.0187,,dq,"Central Festival Chiangmai, GF fl."
13.7486581,100.5634386,,dq,MRT Phetburi
14.3623559,99.8844361,,dq,Lotus U-Thong
13.4055117,101.0412504,,dq,Robinson Chonburi
13.4463029,101.169695,,dq,Lotus Panasnikom
13.992,99.9968,,dq,Lotus Kamphaeng Saen
13.8574,100.5361,,dq,The Mall Ngamwongwan Food Hall
13.916,100.4083,,dq,Lotus Bangkruai-Sainoi
15.0584,100.7178,,dq,Lotus Khoksamrong
13.7077,100.5085,,dq,Food Hall Charoenkrung
13.6814,100.5312,,dq,Food Hall Sathupradit
13.8975,100.609,,dq,Yingcharoen Market
13.7516,100.5365,,dq,Food Hall Pratunam
12.9504,100.8895,,dq,"Terminal 21 Pattaya, 2 fl."
13.7788333,100.476177,,dq,"Central Plaza Pinklao., 5 fl."
13.7231,100.5215,,dq,Food Hall Silom
12.6925,100.9759,,dq,Lotus U-Tapao
13.8267185,100.6766869,,dq,The Promenade
13.7493,100.5416,,dq,The Market Bangkok
13.7237,100.5125,,dq,Icon Siam
18.9220977,98.9401476,,dq,PTT Mae Rim
13.8054,100.5252,,dq,Gateway Bangsue
13.6941,100.6481,,dq,Seacon
13.7496204,100.5839039,,dq,Bangkok Hospital
13.6681,100.6833,,dq,Food Hall Number One Plaza Ram 2
14.1185,100.6186,,dq,Food Hall Navanakorn
13.8853,100.5311,,dq,"Food Hall Samakki, 1 fl."
13.8456,100.4398,,dq,Food Hall Chao Phraya
13.3531,101.0025,,dq,Lotus Ban Suan
13.774,100.6108,,dq,The Scene Town In Town
13.839,100.5751,,dq,Food Hall Kaset
13.8549992,100.6413065,,dq,Lotus Talad Watcharapol
13.707,100.381,,dq,SF Phetkasem
13.639,100.5,,dq,Lotus Pracha Uthit
13.6861,100.6114,,dq,Whizdom 101
13.6911,100.7292,,dq,Lotus Express Kingkaew 33
13.8086,100.6085,,dq,Lotus Express Ladprao 71
